E field (kV/cm),Energy (cm-1)
0.317119391,0.500082714
1.398475428,0.500881385
2.479879846,0.503222172
3.561597213,0.515538217
4.643341356,0.528707761
5.725038337,0.540373984
6.806758138,0.552767621
7.888496196,0.565743188
8.970238818,0.578864237
10.05196318,0.591403356
11.13368755,0.603942475
12.21538453,0.615608698
13.297045,0.62611106
14.37865982,0.635158596
15.46025639,0.643624202
16.54178906,0.65005305
17.62327609,0.655027073
18.70472661,0.658837234
19.78610409,0.660319674
20.8675181,0.662965974
21.94877235,0.660520383
23.03006769,0.659384135
24.11129,0.655920165
25.19248492,0.651583299
26.27361138,0.645064194
27.35471502,0.637817676
28.43577758,0.629261815
29.51681732,0.61997854
30.59782055,0.609531404
31.67879639,0.598211372
32.75973116,0.585581997
33.84062941,0.571788761
34.9215231,0.557850042
36.00236658,0.542311014
37.08320093,0.526481021
38.16399421,0.509341685
39.24479205,0.492347831
40.32555794,0.474335598
41.40630558,0.455741435
42.48702583,0.436274377
43.56773239,0.41637087
44.64841612,0.395739951
45.72909529,0.374963548
46.80974252,0.353168768
47.89036692,0.330646574
48.97098676,0.307978898
50.05160203,0.285165739
51.13218536,0.261334201
52.21275499,0.237066216
53.29331093,0.212361783
54.37386687,0.18765735
55.45439543,0.162080021
56.53491942,0.136357209
57.61544797,0.11077988
58.69594001,0.08403869
59.77643206,0.0572975
60.85691041,0.030119863
61.93738419,0.002796742
63.01784428,-0.024962826
64.09829525,-0.053013359
65.17872339,-0.081791306
66.25916066,-0.110278288
67.33958424,-0.139201717
68.41999869,-0.168416111
69.50039945,-0.198066954
70.58079565,-0.227863279
71.66117815,-0.258096052
72.74156522,-0.288183342
73.82192946,-0.318998045
74.90228914,-0.349958231
75.9826397,-0.381209383
77.06299025,-0.412460534
78.1433408,-0.443711685
79.22366853,-0.47569025
79.86213758,-0.49160428
